,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Dali_MLBA,0.121791,0.074811,0.050157,0.089902,-0.0119,0.029284,-0.005484,0.003077,-0.023452,-0.041671,0.002111,-0.002048,-0.003023,-0.023625,0.025696,0.004331,-0.011865,0.004856,0.001885,0.003543,-0.004658,0.00371,0.006121,0.004057,-0.003433
Dashti_Kozy_BA,0.118376,0.100876,0.036958,0.083011,-0.005334,0.029934,0.002977,0.001615,-0.025838,-0.038695,-0.003681,-0.001549,-0.001586,-0.020964,0.021851,0.019712,4.3e-05,-0.002534,-0.000126,0.001542,-0.005324,-0.002679,-0.000698,0.007591,-0.002994
Datog,-0.388516,0.080227,-0.019987,-0.050927,0.001333,-0.021382,-0.003838,0.001385,0.104375,-0.079333,-0.012612,-0.002748,-0.017938,-0.002982,0.015427,-0.016309,0.024295,-0.002196,0.010265,-0.010547,0.001456,0.003751,-0.003697,-0.004499,-0.003632
Daur,0.032724,-0.425253,0.050534,-0.0474,-0.01608,-0.017012,0.013748,0.017422,0.001636,0.009066,-0.046768,-0.001049,0.00394,0.004301,-0.002782,-0.004541,-0.004792,0.002565,0.005719,0.001751,0.000749,-0.011221,-0.004314,-0.001145,0.001647
Dharkar,0.047427,-0.075149,-0.154368,0.109713,-0.067705,0.068328,0.000548,0.012461,0.047109,0.028064,-0.000379,0.001049,-0.000743,0.001651,-0.004886,-0.013789,-0.007562,0.00038,0.002975,0.002543,0.00104,0.002638,0.005875,4e-05,-0.010378
Dinka,-0.577462,0.051115,0.000754,-0.007591,-0.005899,-0.001255,-0.016647,0.019691,0.080787,-0.097466,-0.019865,0.022055,-0.039569,-0.001216,0.009478,-0.021391,0.017059,-0.011212,0.022081,-0.022386,0.001996,0.003978,0.000924,0.001366,0.009799
Dolgan,0.052586,-0.348123,0.116606,-0.005491,-0.111898,-0.062527,0.02806,0.039506,0.022702,0.016511,0.045339,0.008213,-0.012398,0.037103,0.013165,0.004243,0.000522,-0.004459,-0.016165,-0.016858,0.018517,0.005787,0.008011,0.00041,-0.000263
Druze,0.087928,0.140227,-0.048712,-0.072245,-0.013105,-0.024821,-0.001547,-0.004,-0.002199,0.007502,0.005914,-0.003272,0.007607,9.2e-05,-0.005983,0.007083,-0.000467,0.00114,0.004682,-0.001761,-0.003629,0.001484,-0.000318,-0.000131,0.003213
Dusadh,0.041736,-0.093091,-0.167819,0.121449,-0.069449,0.067027,-0.003133,0.011846,0.049904,0.034382,-0.005088,-0.000849,-0.002676,-4.6e-05,-0.008867,-0.003934,0.009735,0.000253,-0.001341,0.004377,-0.001664,0.00103,0.000945,0.001446,-0.003752
Dusun,0.014569,-0.430788,-0.066826,-0.052197,0.147782,0.067882,-0.001927,-0.013384,-0.021434,-0.0238,0.07314,0.008782,-0.006838,0.00022,0.012269,0.006736,-0.005893,0.005498,0.008723,-0.004827,-0.005989,-0.027278,-0.008208,-0.004483,-0.047301
Dutch,0.131428,0.135878,0.057574,0.044553,0.040048,0.016529,0.00752,0.0062,0.00874,0.001045,-0.005987,0.004436,-0.013429,-0.010478,0.017761,0.003553,-0.009083,0.003252,0.004047,0.000684,0.005058,0.002481,0.000468,0.015962,-0.000367
Dzharkutan1_BA,0.081303,0.076455,-0.110065,0.009413,-0.097513,0.023268,0.0047,-0.008934,-0.062526,-0.039571,0.001694,-0.001028,-0.000127,-0.01213,0.020009,0.026537,-0.006091,0.002986,0.002711,-0.019634,0.000713,-0.010705,-0.001444,-0.014357,0.009067
Dzharkutan2_BA,0.105855,0.093429,-0.040918,-0.021318,-0.040777,0.000558,0.005405,-0.001961,-0.060846,-0.0277,-0.004709,0.012739,-0.020069,0.003785,0.006582,-0.014187,0.015972,-0.004561,-0.011941,0.020822,0.011542,0.002473,-0.001232,-0.006326,-0.003473
Egyptian,-0.010864,0.132665,-0.042169,-0.087386,-0.004168,-0.035926,-0.013844,-0.000567,0.038897,0.000828,0.007352,-0.00876,0.025299,-0.000125,-0.00153,-0.000337,-0.00128,-0.002453,-0.002365,0.002535,-0.002235,-0.00254,0.00233,0.000526,-0.000196
EHG,0.119799,0.036559,0.12775,0.20341,-0.010156,0.058149,-0.020622,-0.025787,-0.007874,-0.082097,0.016685,-0.014762,0.027577,-0.046172,0.02331,0.020485,-0.007953,-0.000285,-0.007008,0.016602,-0.005459,0.019259,0.008412,-0.020455,-0.007903
ElMiron,0.0774,0.044683,0.105217,0.129201,0.11079,0.031236,0.001645,0.006231,0.088559,0.02442,-0.005359,-0.002847,0.008622,-0.013487,0.037459,0.041633,0.002217,0.006968,-0.015209,0.045772,0.063762,0.007914,-0.036481,-0.129054,0.013053
England_Anglo-Saxon,0.133173,0.131681,0.064488,0.060617,0.043393,0.020638,0.00564,0.006154,0.004022,-0.002976,-0.005196,0.003946,-0.01001,-0.012111,0.024384,0.008044,-0.003694,0.002449,0.004064,0.006378,0.007736,0.001237,0.002054,0.015665,-0.000758
England_CA_EBA,0.125086,0.125605,0.061689,0.063359,0.029576,0.020932,0.004329,0.004433,-0.000818,-0.004872,-0.005008,0.005561,-0.011455,-0.015349,0.026037,0.010614,-0.00411,0.001194,0.002461,0.005924,0.005773,0.002772,-0.000876,0.003691,-0.001576
England_IA,0.132414,0.128972,0.060339,0.047266,0.035391,0.019057,0.005562,0.001846,0.004977,0.004313,-0.003356,0.004396,-0.008622,-0.018304,0.017372,0.015425,0.006867,-0.003083,0.001927,0.004169,0.003785,-0.000206,-0.003738,0.011086,0.000758
England_LBA,0.119514,0.116786,0.056945,0.05814,0.031698,0.018686,0.00235,-0.003461,0.004909,-0.00656,-0.006496,0.003447,-0.025718,-0.004817,0.019544,0.02148,0.00352,-0.000253,-0.000126,0.006128,0.005989,-0.00272,-0.001602,0.012291,-0.004311
England_MBA,0.126763,0.129187,0.063078,0.060367,0.033755,0.020036,0.002536,0.004749,0.004413,-0.001861,-0.004564,0.003904,-0.011244,-0.015276,0.024915,0.007446,-0.008029,0.003521,0.001284,0.003739,0.004433,0.004464,-0.00061,0.006304,-0.000914
